Player,Position,Finishing,xG,Positioning,Speed,Strength,Passing,Vision,Aggression,Composure,OffTheBall,PressActions,MarketValue
Terem Moffi,ST,92.0,3.53,95.0,75.0,75.0,65.0,64.0,81.0,65.0,65.0,7.6,73.8
Jordan Ayew,ST,94.0,1.96,92.0,77.0,73.0,64.0,63.0,77.0,65.0,65.0,6.5,72.0
Thomas Campaniello,ST,94.0,1.83,92.0,78.0,71.0,60.0,65.0,78.0,65.0,65.0,7.2,66.4
Adrian Niño,ST,94.0,1.44,92.0,69.0,70.0,60.0,73.0,79.0,65.0,65.0,7.6,58.9
Gianluca Scamacca,ST,93.0,1.29,92.0,79.0,75.0,64.0,61.0,79.0,65.0,65.0,7.4,52.1
Kevin Behrens,ST,94.0,1.24,94.0,74.0,63.0,63.0,63.0,80.0,65.0,65.0,7.5,50.0
Víctor Muñoz,ST,93.0,1.23,91.0,78.0,85.0,62.0,72.0,82.0,65.0,65.0,7.3,51.9
David Mokwa,ST,89.0,1.21,92.0,65.0,70.0,66.0,66.0,79.0,65.0,65.0,7.4,54.4
Pape Daouda Diongue,ST,91.0,1.18,91.0,79.0,60.0,60.0,72.0,76.0,73.0,65.0,8.4,52.3
Jonah Kusi-Asare,ST,91.0,1.12,89.0,81.0,72.0,65.0,74.0,80.0,65.0,65.0,7.7,54.7
Alberto Cerri,ST,87.0,1.05,92.0,71.0,73.0,72.0,71.0,82.0,65.0,65.0,8.8,40.8
Randal Kolo Muani,ST,89.0,0.98,84.0,74.0,80.0,62.0,63.0,82.0,66.0,66.0,8.3,52.9
Youssoufa Moukoko,ST,90.0,0.96,91.0,72.0,65.0,68.0,62.0,74.0,72.0,65.0,8.2,53.0
Younes Lachaab,ST,94.0,0.95,89.0,75.0,64.0,63.0,68.0,78.0,65.0,65.0,8.4,45.7
Gonçalo Ramos,ST,94.0,0.95,87.0,76.0,66.0,71.0,63.0,77.0,71.0,67.0,8.3,46.6
Nathan Butler-Oyedeji,ST,86.0,0.94,90.0,71.0,85.0,68.0,71.0,82.0,65.0,65.0,6.9,43.1
Alexander Sørloth,ST,91.0,0.92,90.0,65.0,89.0,60.0,66.0,88.0,87.0,70.0,8.4,57.0
Andreas Albers,ST,86.0,0.9,90.0,68.0,68.0,69.0,62.0,79.0,87.0,65.0,8.1,45.4
Karl Etta Eyong,ST,89.0,0.88,86.0,72.0,75.0,63.0,61.0,80.0,85.0,65.0,7.2,46.5
Lukas Nmecha,ST,84.0,0.87,88.0,65.0,67.0,63.0,65.0,76.0,65.0,66.0,6.6,34.6
Pau Victor,ST,91.0,0.85,86.0,74.0,69.0,64.0,62.0,76.0,65.0,66.0,7.1,46.8
Justin Diehl,ST,85.0,0.84,87.0,72.0,62.0,66.0,71.0,73.0,77.0,66.0,8.1,34.5
Yusuf Kabadayı,ST,89.0,0.82,86.0,75.0,77.0,62.0,62.0,77.0,86.0,65.0,6.9,45.2
Steve Mounié,ST,82.0,0.82,87.0,71.0,73.0,61.0,65.0,80.0,65.0,66.0,7.7,35.1
Ousmane Dembélé,ST,87.0,0.82,86.0,93.0,85.0,80.0,84.0,85.0,86.0,83.0,12.2,66.6
Marco Asensio,ST,84.0,0.82,86.0,65.0,62.0,83.0,63.0,75.0,65.0,68.0,8.9,38.0
Victor Orakpo,ST,92.0,0.81,88.0,73.0,65.0,67.0,67.0,77.0,65.0,65.0,8.2,41.7
Elye Wahi,ST,88.0,0.81,87.0,65.0,74.0,63.0,62.0,78.0,65.0,66.0,7.6,42.8
Robert Lewandowski,ST,93.0,0.81,95.0,76.0,79.0,80.0,83.0,86.0,89.0,69.0,8.5,70.2
Yussuf Poulsen,ST,90.0,0.8,86.0,79.0,91.0,69.0,63.0,81.0,65.0,65.0,8.0,44.3
Gonzalo García,ST,90.0,0.79,85.0,70.0,86.0,60.0,61.0,80.0,66.0,65.0,7.7,48.9
Daniel Jebbison,ST,90.0,0.75,82.0,73.0,75.0,73.0,69.0,81.0,74.0,66.0,7.1,39.0
Amine Gouiri,ST,87.0,0.73,84.0,65.0,68.0,69.0,65.0,77.0,83.0,67.0,7.4,34.8
Danny Ings,ST,87.0,0.72,84.0,75.0,83.0,60.0,62.0,83.0,66.0,66.0,7.5,48.8
Enes Ünal,ST,86.0,0.72,85.0,72.0,74.0,60.0,61.0,79.0,68.0,66.0,8.0,45.2
James Mcatee,ST,84.0,0.72,87.0,71.0,87.0,60.0,67.0,84.0,77.0,66.0,7.8,48.7
